Date,Product Name,Campaign Name,Brand Name,Category,Product ID,Ad Spend,Ad Impressions,CPM,Add to Cart,Orders (SKU),Ad Revenue,ROAS,Other SKU Orders,Same Category Orders,Other SKU Ad Revenue
2026-07-26 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,806.89,909,887.67,0,21,3539,4.39,9,21,1871
2026-06-03 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,0,0,0,0,0,0,0,0,0,0
2026-06-18 00:00:00,Chuk Disposable Bowl - 120 ml  25 pcs,Discovery Partial June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197850,651.18,535,1217.16,0,11,1148,1.76,4,11,436
2026-06-17 00:00:00,Chuk 3 CP Meal Plate  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197858,284.01,450,631.13,7,5,1284,4.52,2,5,327
2026-06-07 00:00:00,"Chuk Disposable Meal Plate, 23 cm  25 pcs",Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197856,0,0,0,0,0,0,0,0,0,0
2026-05-06 00:00:00,Chuk Disposable Meal Plate - 5 Compartment  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197861,112.31,157,715.35,0,2,258,2.3,2,2,258
2026-06-26 00:00:00,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197860,163.57,244,670.39,5,5,1775,10.85,2,5,278
2026-05-22 00:00:00,Chuk Serving Bowls/Dona  25 pcs,Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197851,261.6,431,606.96,0,4,566,2.16,4,4,566
2026-05-22 00:00:00,Chuk Disposable Snack Plate - 30 cm  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220814,0.6,1,600,0,0,0,0,0,0,0
2026-05-22 00:00:00,Chuk Disposable Snack Plate - 15 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40220812,0,0,0,0,0,0,0,0,0,0
2026-06-02 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,0,0,0,0,0,0,0,0,0,0
2026-05-29 00:00:00,Chuk 3 CP Meal Plates With Cutlery  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359934,1647.15,2116,778.43,0,33,5625,3.41,14,33,2845
2026-05-30 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,1391.28,1482,938.79,0,25,4383,3.15,16,25,2862
2026-06-11 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,881.88,971,908.22,0,16,3130,3.55,8,16,1778
2026-05-14 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,0,0,0,0,0,0,0,0,0,0
2026-06-10 00:00:00,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,Disposable plates & bowl - July,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359936,0,0,0,0,0,0,0,0,0,0
2026-06-10 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,907.74,1092,831.26,11,12,1767,1.95,7,12,753
2026-06-10 00:00:00,Chuk Disposable Snack Plate - 18 cm  25 pcs,Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197854,559.94,869,644.35,14,8,1132,2.02,8,8,1132
2026-05-20 00:00:00,"Chuk Disposable Meal Plate, 23 cm  25 pcs",Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197856,0,0,0,0,0,0,0,0,0,0
2026-05-20 00:00:00,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,Disposable Plate - Smart Bid,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197860,241.24,332,726.61,0,1,199,0.82,1,1,199
2026-06-08 00:00:00,"Chuk Disposable Meal Plate, 23 cm  25 pcs",Plates - Campaign June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40197856,0,0,0,0,0,0,0,0,0,0
2026-06-04 00:00:00,Chuk Disposable Bowl  360 ml (Set of 25),Disposable Bowl - June 26,chuk,cleaning-household>party-festive-needs>disposable-cups-plates,40359935,0,0,0,0,0,0,0,0,0,0
